"";"Overall"
"msp_0202";0,265314605103828
"msp_0203";0,250152848349256
"msp_0204";0,698118232333266
"msp_0205";3,6789827658419
"msp_0206";0,0707813956212956
"msp_0207";0,203959359851296
"msp_0208";0,337737057390331
"msp_0209";0
"msp_0210";0,0739563458855875
"msp_0211";0
"msp_0212";0,611293762214885
"msp_0213";2,0135961756237
"msp_0214";0,139074733169703
"msp_0215";0
"msp_0216";0
"msp_0217";0
"msp_0218";0
"msp_0219";0
"msp_0220";0,438496628476797
"msp_0221";0,327707802072757
"msp_0222";0
"msp_0223";0,151894104976688
"msp_0224";0,059953581866809
"msp_0225";1,46455112302243
"msp_0226";0,0262360973639369
"msp_0227";0,262678584052277
"msp_0228";0,0519919098109096
"msp_0229";0,123143533897584
"msp_0230";0,318675829092264
"msp_0231";0,130495849378728
"msp_0232";0,161683066735085
"msp_0233";0,162576610277273
"msp_0234";0,0435218594292391
"msp_0235";0
"msp_0236";3,71466918277022
"msp_0237";0,0741630459339095
"msp_0238";0,0492384271860908
"msp_0239";0,0380657662646406
"msp_0240";0
"msp_0241";0
"msp_0242";1,55835749220604
"msp_0243";0,154422553584931
"msp_0244";0,168584249076106
"msp_0245";0
"msp_0246";0,0878440759953244
"msp_0247";0
"msp_0248";0
"msp_0249";0,338630779251236
"msp_0250";1,1431080409729
"msp_0251";0,0502376251607248
"msp_0252";0,636148353988044
"msp_0253";0
"msp_0254";0,0213168291081987
"msp_0255";0,0255801949298385
"msp_0256";0,117694037787999
"msp_0257";0
"msp_0258";0,0992923133463403
"msp_0259";0,350444458342545
"msp_0260";0
"msp_0261";0
"msp_0262";1,10080260296963
"msp_0263";0,452443682733457
"msp_0264";0
"msp_0265";0,564575956513975
"msp_0266";0
"msp_0267";0,0936648551723884
"msp_0268";0
"msp_0269";0
"msp_0270";0,436438775186903
"msp_0271";0,0639504873245962
"msp_0272";0
"msp_0273";0
"msp_0274";0,263140619312825
"msp_0275";0
"msp_0276";3,58456257434052
"msp_0277";0,353481435125954
"msp_0278";0
"msp_0279";0,372149995885046
"msp_0280";0,162173865695405
"msp_0281";0,0260263611204753
"msp_0282";0,248421113838069
"msp_0285";0,920476763456737
"msp_0286";1,45351167752284
"msp_0287";0,677646743402497
"msp_0288";0,0520527222409505
"msp_0289";0,0256211888319696
"msp_0290";0,19847809140295
"msp_0291";0,117460573120063
"msp_0292";2,14520053979867
"msp_0293";0
"msp_0294";0,0878915472889179
"msp_0295";0
"msp_0296";0,610618771828445
"msp_0297";1,57229950800521
"msp_0298";0,178974578241579
"msp_0299";0,0242236694411349
"msp_0300";0,118586650513299
"msp_0301";0,301857198106444
"msp_0302";0,232109867037514
"msp_0303";0,1972758336665
"msp_0304";0,132652148502014
"msp_0305";0,213147086051486
"msp_0306";0,252963453479988
"msp_0307";0,388479252795477
"msp_0308";0,221484973100896
"msp_0309";0
"msp_0310";0
"msp_0311";0
"msp_0312";0,0426336582163975
"msp_0313";0,476949829253681
"msp_0314";0,787741199423434
"msp_0315";0,0555125758026009
"msp_0316";0,0251657010305124
"msp_0317";2,2337082325897
"msp_0318";0,340190429526486
"msp_0319";0,077124865140632
"msp_0320";0,131883239427647
"msp_0321";0
"msp_0322";0,0738905375902734
"msp_0323";0
"msp_0324";0,0444100606420807
"msp_0325";0,0612858836860714
"msp_0326";0
"msp_0327";0,121365683519206
"msp_0328";0,0263655517917194
"msp_0329";0,0177640242568323
"msp_0330";0
"msp_0331";3,58370551814848
"msp_0332";0
"msp_0333";0,199696336710381
"msp_0334";0,238228112511593
"msp_0335";0,582332918073271
"msp_0336";0,0667261161147263
"msp_0337";0,335842988316267
"msp_0338";0
"msp_0339";0
"msp_0340";0,569382753354211
"msp_0341";0
"msp_0342";0,268797326593905
"msp_0343";0
"msp_0344";0
"msp_0345";0,327221501109626
"msp_0346";2,54462820941558
"msp_0347";0,24499104733805
"msp_0348";0,18026145706714
"msp_0349";0,0507543550195208
"msp_0350";0,102850514915283
"msp_0351";0
"msp_0352";0,166923987970925
"msp_0353";0,206936405779619
"msp_0354";0
"msp_0355";0
"msp_0356";0,37315137414845
"msp_0357";0,372462877499162
"msp_0358";0
"msp_0359";0,229830259360017
"msp_0360";0,259920317430117
"msp_0361";0,157744632312969
"msp_0362";0,0406034840156166
"msp_0363";0
"msp_0364";4,91549480556336
"msp_0365";0,0344177969976127
"msp_0366";0,478884981028501
"msp_0367";0,0213168291081987
"msp_0368c";0
"msp_0369";0,579080293545328
"msp_0370";0,0256943922286324
"msp_0371";0
"msp_0372";0,0248696339595652
"msp_0373";0,197249879734956
"msp_0374";0,561934361842417
"msp_0375";0,23933841620016
"msp_0376";0,0893909065101107
"msp_0377";0,0504031758964059
"msp_0378";1,04260191712268
"msp_0379";0,101388343979707
"msp_0380";9,75735057021232
"msp_0381";0
"msp_0382";0
"msp_0383";0
"msp_0384";0,0522914676194245
"msp_0385";0,301622449113784
"msp_0386";0,129584751451252
"msp_0387";0
"msp_0388";0,500013859771485
"msp_0389";0,354022689487631
"msp_0390";0,0263713349792148
"msp_0391";0,333422717073837
"msp_0392";0,0262360973639369
"msp_0393";0
"msp_0394";0
"msp_0395";0,02604044464922
"msp_0396";0,950524987323588
"msp_0397";0,0895306822544347
"msp_0398";0,719871590341999
"msp_0399";0,085267316432795
"msp_0400";0
"msp_0401";0,377582665396496
"msp_0402";0,0233152818370924
"msp_0403";0,197974722761861
"msp_0404";0,447837798512199
"msp_0405";0
"msp_0406";0
"msp_0407";0,499811118114467
"msp_0408";0,0765180004152706
"msp_0409";0,0827295986818189
"msp_0410";0,144595571247536
"msp_0411";0,187386884770242
"msp_0412";0,170040874994073
"msp_0413";0
"msp_0414";0,0228394597587844
"msp_0415";0
"msp_0416";0
"msp_0417";0,0259798854756173
"msp_0418";0,585137639013836
"msp_0419";0,199384631889213
"msp_0420";0,0259258732397011
"msp_0421";0,26594048706252
"msp_0422";2,29158146803785
"msp_0423";0,118716501974875
"msp_0424";0,122880706924436
"msp_0425";0,129537601685996
"msp_0426";0,155264271830479
"msp_0427";0
"msp_0428";0
"msp_0429";0,305613915591273
"msp_0430";0,195404266825155
"msp_0431";0
"msp_0432";1,15910614585829
"msp_0433";0
"msp_0434";0
"msp_0435";0,529500931850419
"msp_0436";0,507759889610554
"msp_0437c";1,76761155688557
"msp_0438";0,0883125777339662
"msp_0439";0,0263970080078162
"msp_0440";0,0713480233000813
"msp_0441";0,0486843095615853
"msp_0442";1,03736504860684
"msp_0443";0
"msp_0444";0,0213168291081987
"msp_0445";0
"msp_0446c";0,0759681188862259
"msp_0447";0,0199845272889363
"msp_0448";0,208646679724869
"msp_0449";0,150265526695821
"msp_0450";0,221865976019261
"msp_0451";0
"msp_0452";0,134512684759705
"msp_0453";0,220396448693208
"msp_0454";0,659449379572151
"msp_0455";0,263013942625204
"msp_0456";0,55405970488201
"msp_0457";0,454803258996097
"msp_0458";0,15610702191053
"msp_0459";0
"msp_0460";0
"msp_0461";0,0662113631391021
"msp_0462";0,160378635159159
"msp_0463";0
"msp_0464";0,195736829477638
"msp_0465";0,388245481619476
